iter	Logloss
0	0.6532939074
1	0.6230479139
2	0.5987279992
3	0.5766742899
4	0.5547635874
5	0.5410615771
6	0.5318920666
7	0.5212652457
8	0.5147182961
9	0.5059836487
10	0.5000736693
11	0.4944319662
12	0.485986617
13	0.4815040289
14	0.4735553399
15	0.4684262761
16	0.4645743488
17	0.4605911971
18	0.4557291124
19	0.4518929037
20	0.4487892446
21	0.4465468866
22	0.4437580375
23	0.4408325493
24	0.4388872942
25	0.4369632014
26	0.4348572209
27	0.4325526776
28	0.4311479154
29	0.4292562363
30	0.4275164075
31	0.4264865962
32	0.424836305
33	0.4227765084
34	0.4214844966
35	0.4186056759
36	0.4173720184
37	0.4163363674
38	0.4155321823
39	0.4135556295
40	0.4126098631
41	0.4118425664
42	0.4100407358
43	0.4091530458
44	0.4085044369
45	0.4078201402
46	0.4068771281
47	0.4061926569
48	0.4054234994
49	0.404796092
50	0.4041226594
51	0.4036871411
52	0.4033167618
53	0.401937857
54	0.4015253795
55	0.4000488171
56	0.3996224514
57	0.3989470764
58	0.3985687223
59	0.3973796312
60	0.3967101225
61	0.3958307451
62	0.3953108857
63	0.3951378066
64	0.3947013757
65	0.39439569
66	0.3939684864
67	0.3934826266
68	0.3929751689
69	0.392664639
70	0.3919429617
71	0.3908732033
72	0.390415721
73	0.3897754985
74	0.3891702248
75	0.3888704544
76	0.3873299291
77	0.3868434146
78	0.3863292864
79	0.3859259298
80	0.3854890708
81	0.3851781248
82	0.3845315229
83	0.3840172082
84	0.3836949465
85	0.3831201183
86	0.3824162514
87	0.3820694034
88	0.3817348585
89	0.3814132102
90	0.381132662
91	0.3802952624
92	0.3800013233
93	0.3796186886
94	0.3792254565
95	0.378742895
96	0.3785085514
97	0.3780589405
98	0.3778213311
99	0.3770686406
100	0.3769156059
101	0.376622913
102	0.3757980488
103	0.3752980742
104	0.3749498959
105	0.3745912566
106	0.3742956555
107	0.37350914
108	0.3728635579
109	0.372307585
110	0.3715385252
111	0.3711471883
112	0.3708840842
113	0.3704657691
114	0.3702112379
115	0.3697923086
116	0.3694847399
117	0.3691432
118	0.3688731031
119	0.3683798054
120	0.3679029882
121	0.3674635694
122	0.3671802849
123	0.3668379517
124	0.3666170527
125	0.365889579
126	0.3654371206
127	0.3648947996
128	0.3644980735
129	0.3641957996
130	0.3636760264
131	0.363323319
132	0.363042862
133	0.3627878102
134	0.3624549464
135	0.3620181467
136	0.3616731977
137	0.3614594111
138	0.3610744962
139	0.3608536188
140	0.3606725127
141	0.3603839981
142	0.3597932856
143	0.3595565436
144	0.3587988395
145	0.3581711962
146	0.3575937834
147	0.3571726784
148	0.3568691977
149	0.3566550125
150	0.3563065248
151	0.3558034746
152	0.355510721
153	0.3551410471
154	0.3548294073
155	0.3544666651
156	0.3538032765
157	0.3535687877
158	0.3532333469
159	0.3530044276
160	0.3522479968
161	0.3519284823
162	0.3514931743
163	0.3512485567
164	0.3509404708
165	0.3502905606
166	0.3498114469
167	0.3492643503
168	0.348995056
169	0.3487308364
170	0.3484788262
171	0.3482557939
172	0.3479451482
173	0.3475903528
174	0.3473718169
175	0.3469818273
176	0.3466838478
177	0.346465713
178	0.3460543954
179	0.345816544
180	0.3454422902
181	0.3452621856
182	0.3451046197
183	0.3446715039
184	0.3443153996
185	0.3440376107
186	0.3437895773
187	0.3436124165
188	0.3433366827
189	0.3430897326
190	0.3428296243
191	0.3424125535
192	0.3418710653
193	0.3417147933
194	0.3414191149
195	0.3411508208
196	0.340916702
197	0.3403358682
198	0.3400924863
199	0.3395993978
200	0.3393231413
201	0.3388449503
202	0.3381157236
203	0.3377451675
204	0.3375730162
205	0.3374129336
206	0.3371525072
207	0.3366630088
208	0.3360658328
209	0.3358903111
210	0.3356645391
211	0.3351991809
212	0.3349210418
213	0.3343724288
214	0.3339360165
215	0.3336964254
216	0.3334070266
217	0.3331586973
218	0.3329899022
219	0.3325062238
220	0.3322154945
221	0.3320830996
222	0.3316797572
223	0.3314203786
224	0.3311373385
225	0.3308561829
226	0.3306992997
227	0.3304817756
228	0.3302436767
229	0.3299708017
230	0.3298347551
231	0.3295726126
232	0.3292984994
233	0.3288468418
234	0.3286840226
235	0.3284963856
236	0.3280656715
237	0.3278081918
238	0.3276511107
239	0.3272014922
240	0.3269858553
241	0.3265445999
242	0.3262287053
243	0.3259399157
244	0.3256096304
245	0.325309914
246	0.3250697381
247	0.324673401
248	0.3244066415
249	0.3241725431
250	0.3237877144
251	0.3234690834
252	0.3233501424
253	0.3232629225
254	0.3228489661
255	0.3226505173
256	0.322362577
257	0.3220505786
258	0.3217477624
259	0.3215557449
260	0.3214142531
261	0.3212420934
262	0.3209599599
263	0.3206750074
264	0.3204688623
265	0.3202635785
266	0.3199724086
267	0.3197528143
268	0.319653506
269	0.3193955962
270	0.3189978236
271	0.3188458814
272	0.3186969752
273	0.318396236
274	0.3181463373
275	0.3179789224
276	0.3178284726
277	0.3176859153
278	0.3171075679
279	0.3168534283
280	0.3166191485
281	0.3164317088
282	0.3162593478
283	0.3160773785
284	0.3158169765
285	0.3156329892
286	0.3153720013
287	0.3151916879
288	0.3149828482
289	0.3145640743
290	0.3141032071
291	0.3138193129
292	0.3137161297
293	0.3132770801
294	0.3129644409
295	0.3127879248
296	0.3127017752
297	0.3124203788
298	0.3120685583
299	0.3117616728
